"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Kluyvera","785","525","345","207","901","444","140"
"Candidatus_Symbiopectobacterium","193","123","85","60","235","121","50"
"Candidatus_Blochmannia","97","85","56","20","184","57","0"
"Candidatus_Hamiltonella","88","58","45","31","43","75","0"
"Candidatus_Doolittlea","37","26","21","16","33","29","0"
"Candidatus_Mikella","26","0","0","0","23","11","0"
"Candidatus_Hoaglandella","17","14","0","15","28","12","0"
"Candidatus_Tachikawaea","11","0","0","0","15","0","0"
"Atlantibacter","461","313","159","91","323","155","82"
"Buttiauxella","330","215","149","93","332","165","63"
"Jejubacter","318","216","141","103","434","310","64"
"Plesiomonas","359","312","165","126","393","229","76"
"Yokenella","328","227","139","95","395","165","63"
"Shimwellia","283","178","118","81","332","164","53"
"Pseudocitrobacter","244","134","180","78","276","224","46"
"Scandinavium","229","153","102","90","254","139","45"
"Phytobacter","517","285","141","153","574","255","101"
"Shigella","4135","944","639","477","3472","973","626"
"Candidatus_Profftia","23","23","0","0","25","12","0"
"Candidatus_Ishikawaella","16","20","0","0","22","13","0"
"Candidatus_Schneideria","15","0","0","0","11","12","0"
"Candidatus_Moranella","11","32","18","0","56","13","0"
"Serratia","13866","10061","6333","4318","28274","9239","3097"
