"","SRR4142418","SRR4141180"
"2528009",3103,6746
"399736",1872,6740
"1431246",1832,6737
"2919322",3557,6735
"179636",2203,6728
"2969247",1734,6719
"314722",2715,6717
"128574",6712,401
"2865673",3246,6710
"2830983",399,6709
"2565555",1804,6700
"488731",6684,2108
"2878150",1793,6681
"767452",1782,6681
"35",2347,6679
"1882749",2592,6675
"2797167",2625,6674
"1795631",2091,6667
"2662028",1736,6664
"323415",2634,6659
"1920",1901,6658
"2782168",1925,6658
"528244",2248,6657
"204891",2157,6649
"1063",2512,6643
"2596916",1741,6638
"1404367",2112,6629
"400634",6618,465
"2315862",3916,6616
"2871170",1821,6610
"56458",2494,6608
"2607753",1964,6606
"465721",4235,6605
"2932247",1939,6604
"2968083",1760,6600
"2978974",3226,6592
"2599401",2166,6591
"483545",1856,6588
"68249",6587,6410
"424800",1819,6583
"37332",1908,6570
"2963432",558,6557
"1484109",1841,6545
"33899",3069,6543
"40989",1927,6538
"242606",2801,6535
"701042",1658,6535
"2035",1817,6527
"587753",2484,6522
"2861750",2392,6521
"2896849",2205,6513
"1793",1842,6508
"208439",3843,6501
"28894",2272,6500
"43668",1817,6496
"53399",4036,6491
"1736691",1810,6486
"3016103",1853,6478
"2003551",1725,6472
