"Genus" "Species"
"901" "Halalkalibacterium_(ex_Joshi_et_al._2022)" "Halalkalibacterium_halodurans"
"913" "Candidatus_Pelagibacter" "giovannonii"
"921" "Streptococcus" "agalactiae"
"931" "Bacillus" "amyloliquefaciens"
"941" "Fictibacillus" "phosphorivorans"
"951" "_" "s"
"961" "Zymomonas" "mobilis"
"971" "Acinetobacter" "sp._YH16040_T"
"981" "Helcococcus" "kunzii"
"991" "_" "s"
"1001" "Mesomycoplasma" "bovoculi"
"1013" "Leptotrichia" "buccalis"
"1021" "Halobacteriovorax" "marinus"
"1031" "Butyrivibrio" "fibrisolvens"
