"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"2745",4457,11312,12098,11477,8771,8881,8504,6001,4908,1133,200,199,245,255,182
"2211210",12058,1300,1140,1101,1068,6416,1025,5915,537,101,21,17,32,21,19
"1235591",2533,11299,11592,12040,8593,7195,11949,6009,5357,825,537,536,446,479,431
"3049772",6417,10430,11790,11946,9039,6742,11071,5704,4867,792,783,703,719,702,566
"36861",1494,6833,10550,11904,5437,4912,5705,3682,2443,470,72,71,77,61,63
"524",1478,244,302,252,192,11882,187,7158,93,1027,10,7,8,10,6
"2823693",4050,9700,11856,10968,8815,7340,7892,5539,4044,890,207,238,301,269,225
"134537",11813,3377,3681,3457,2666,4559,2594,4775,1292,340,87,72,95,83,74
"2728827",4788,11798,9285,8868,8132,6175,9494,4776,4038,1617,104,69,194,115,84
"2714941",5130,11794,7071,6760,11040,11055,8557,8953,5393,415,42,44,126,61,44
"1176646",4965,9430,11735,9487,7674,7542,6349,6772,2633,827,58,49,266,110,61
"2894081",5939,10110,6319,5729,10605,11587,6991,9602,2889,358,75,63,93,80,44
"506",11587,7377,8358,7336,5320,4242,5077,3033,2798,528,143,118,159,134,114
"2004797",535,9280,11578,9693,7582,4384,6943,3196,4543,964,156,173,201,172,178
"85015",11362,8427,6704,6267,8440,11573,6741,9509,3351,494,126,116,194,126,88
"2518370",6566,9224,5777,5284,9219,11571,6496,9723,2761,287,67,76,137,92,50
"1268",9088,10304,8603,8145,8645,11541,7580,9359,5225,672,133,127,217,152,107
"2602015",2985,9450,11251,11489,7275,5112,6981,3888,3917,740,5467,4912,2021,3364,2989
"2321403",496,5481,11461,5458,4425,1433,3195,1266,2702,951,524,352,129,294,419
"173480",3383,9219,11457,10166,8464,4074,7144,3293,3795,746,85,86,201,155,98
"75",2967,9545,11453,10311,8095,6852,7267,5089,4108,798,260,255,264,275,235
"642",4664,11304,11349,10816,8356,6972,8139,4861,4412,1005,235,211,237,238,230
"2918171",1944,9642,11337,9464,7975,4593,8767,3404,3796,686,161,130,256,189,147
"435897",8505,10892,10316,9362,7660,11334,6747,7795,4287,1391,142,160,173,158,137
"76892",2773,9353,11276,9622,8062,6137,6941,5234,4181,725,268,302,291,275,279
"261302",11256,3205,3871,3529,2540,4794,2529,4714,1196,364,87,77,89,73,74
"1775",3518,1755,1836,1661,1454,10190,1554,11227,737,3112,37,39,57,46,35
"196162",10166,8847,6590,5859,8879,11178,7363,9302,3022,416,141,143,179,127,72
"2813578",2190,9218,11129,9328,7903,4654,8146,3507,3471,679,248,210,260,207,163
"2843216",3868,11076,8750,8732,10139,9416,11097,7785,3881,711,135,95,290,150,82
"204447",3431,10661,9091,8953,9565,5029,11086,4216,3596,675,163,143,180,153,140
"2107713",2430,2326,2179,1823,2052,10998,1572,9029,956,183,34,33,56,47,19
"2898431",2402,10992,10763,9473,7457,5327,7024,3674,3166,662,104,92,137,105,85
"48736",4176,10024,10885,10257,7599,5984,7292,4098,3518,811,183,143,217,186,130
"2907545",5488,6064,8182,2739,3722,10884,4089,9150,2475,574,355,68,116,92,43
"83618",7537,7563,7336,6424,5175,10858,4446,7323,3312,1504,121,113,125,130,100
"2836373",5905,9669,8372,8760,8073,6427,10853,5377,3757,901,160,99,186,119,96
"91347",4535,8917,10850,9785,7145,7938,6729,5652,4036,1104,282,255,291,288,281
"33075",10841,3267,4850,4142,2881,8618,3151,7365,1462,685,78,93,150,95,106
"2807101",2670,10820,8546,7543,8730,4484,10837,4076,3537,351,139,126,171,155,116
"1643322",8864,9627,7243,6602,9856,10828,8436,9064,3021,411,124,125,351,137,109
"2842350",83,8508,10822,2064,906,363,643,258,801,133,2,2,5,7,6
"87883",7111,9604,10821,9997,7790,6719,7458,4900,3492,862,139,149,186,177,124
"35753",6397,10809,10008,9900,9474,8032,10326,6344,4227,1129,129,105,249,147,97
"2045",7850,10787,9307,9082,9466,9987,8437,7810,3686,776,120,104,188,126,75
"1736675",4066,10773,8155,7237,6916,8687,8391,7454,3618,657,530,642,377,521,453
"76259",1428,4924,10714,5124,3918,3003,3597,2053,1855,455,102,118,115,104,233
"3029053",1618,436,516,393,364,10688,234,5392,202,101,21,9,22,220,41
"2840457",9249,9359,6962,6491,9321,10603,7915,8824,3181,441,211,187,272,163,121
"56438",5596,9133,7096,7308,7460,6226,10581,5209,3315,711,65,49,137,96,47
"2712223",8119,9297,6745,6391,8864,10552,7739,8811,3025,499,196,218,200,150,105
"2764186",8689,8347,10497,10034,7098,8419,5747,7635,2404,686,85,60,261,125,49
"2865833",8405,10489,9507,9777,9198,8841,9793,6719,3900,760,102,81,249,147,111
"2511995",7695,4001,4659,5317,2846,10472,2696,6568,1562,1501,111,106,108,115,84
"2686094",1280,7863,10433,7515,5205,1694,5263,1409,3522,813,916,921,507,811,790
"392734",10397,4183,6060,5266,3755,7499,3822,6619,1804,605,103,107,146,130,99
"2594473",2323,9691,10309,8869,6383,4326,5276,3567,3012,504,33,35,128,48,39
"517",9293,9491,10289,9838,6937,6156,6752,4389,3436,795,150,113,196,166,128
"467976",2498,10243,7850,7292,8526,9664,7579,7654,5761,690,191,183,237,189,122
"589382",4575,10226,5865,6201,6998,6689,9388,5448,3249,552,46,41,91,49,31
"2780091",9321,2554,2902,2887,1968,10218,1879,6289,1020,1463,70,67,69,72,56
"433659",8671,9283,6805,6194,9707,10213,7371,8365,2844,442,80,62,225,108,57
"2589080",10195,2657,2917,2937,2085,7687,1952,5043,1010,2685,70,55,55,53,48
"1274631",3139,8779,7700,8030,6519,4494,10185,3748,3567,562,425,441,559,487,330
"339",6709,5915,6277,5719,4345,10145,4098,6780,2484,1243,111,106,102,123,102
"190148",2969,8574,7838,7816,6293,3902,10119,3419,3377,531,420,362,549,462,310
"1838286",807,10117,8813,8198,5876,2901,5191,2139,3685,382,1158,947,470,920,1335
"56458",7026,6230,6666,6119,4765,10111,4445,6645,2605,1332,113,83,95,102,85
"546871",10085,7956,5183,4997,7389,7821,5581,7084,2385,348,53,45,97,70,56
